group1;group2;meandiff;p-adj;lower;upper;reject
carregamento;elasSub;-3.6814;0.0002;-6.2011;-1.1616;True
carregamento;espRev;-2.6493;0.1528;-5.7094;0.4107;False
elasBas;elasSub;-2.6042;0.0089;-4.834;-0.3743;True
carregamento;poiSub;-2.4829;0.7206;-6.906;1.9402;False
elasRev;elasSub;-2.0131;0.1297;-4.2815;0.2554;False
carregamento;espBas;-1.9812;0.5371;-5.0413;1.0788;False
carregamento;poiBas;-1.979;0.9026;-6.4021;2.4441;False
carregamento;poiRev;-1.9468;0.8133;-5.7577;1.8641;False
elasSub;poiRev;1.7346;0.8514;-1.8304;5.2995;False
elasSub;poiBas;1.7024;0.9443;-2.5107;5.9154;False
elasSub;espBas;1.7001;0.5999;-1.0476;4.4478;False
carregamento;elasRev;-1.6683;0.5701;-4.3064;0.9698;False
elasBas;espRev;-1.5721;0.7305;-4.3982;1.254;False
elasBas;poiSub;-1.4057;0.9838;-5.6703;2.8589;False
elasSub;poiSub;1.1985;0.9939;-3.0146;5.4115;False
carregamento;elasBas;-1.0772;0.9365;-3.6823;1.5279;False
elasSub;espRev;1.032;0.9636;-1.7156;3.7797;False
elasRev;espRev;-0.981;0.979;-3.8376;1.8756;False
elasBas;espBas;-0.904;0.9867;-3.7301;1.9221;False
elasBas;poiBas;-0.9018;0.9993;-5.1664;3.3628;False
elasBas;poiRev;-0.8696;0.9981;-4.4954;2.7562;False
elasRev;poiSub;-0.8146;0.9997;-5.0995;3.4703;False
espRev;poiRev;0.7025;0.9998;-3.2628;4.6678;False
espRev;poiBas;0.6703;1.0;-3.8865;5.2271;False
espBas;espRev;-0.6681;0.9994;-3.9184;2.5822;False
elasBas;elasRev;-0.5911;0.9975;-2.9539;1.7717;False
poiRev;poiSub;-0.5361;1.0;-5.6276;4.5554;False
poiBas;poiSub;-0.5039;1.0;-6.0684;5.0607;False
espBas;poiSub;-0.5016;1.0;-5.0584;4.0551;False
elasRev;espBas;-0.3129;1.0;-3.1695;2.5437;False
elasRev;poiBas;-0.3107;1.0;-4.5956;3.9742;False
elasRev;poiRev;-0.2785;1.0;-3.9281;3.3711;False
espRev;poiSub;0.1664;1.0;-4.3903;4.7232;False
espBas;poiRev;0.0344;1.0;-3.9309;3.9997;False
poiBas;poiRev;0.0322;1.0;-5.0593;5.1237;False
espBas;poiBas;0.0022;1.0;-4.5546;4.559;False
